,caseid_new,relationship_len,partner_deceased,relationship_quality_w1,category
639,1006611,30.0,0,excellent,top_quartile
640,1008275,10.0,0,excellent,second_quartile
641,1009361,12.0,0,excellent,second_quartile
642,1010732,51.0,1,good,top_quartile
643,1011511,19.0,0,excellent,third_quartile
644,1013451,26.0,0,excellent,third_quartile
645,1015371,21.0,0,excellent,third_quartile
646,1017606,37.0,0,excellent,top_quartile
647,1018641,49.0,0,good,top_quartile
648,1021791,64.0,0,good,top_quartile
649,1022721,45.0,0,excellent,top_quartile
650,1023721,59.0,0,excellent,top_quartile
651,1024643,21.0,0,excellent,third_quartile
652,1026381,12.0,0,good,second_quartile
653,1029571,43.0,1,excellent,top_quartile
654,1030441,29.0,0,excellent,third_quartile
655,1031721,21.0,0,excellent,third_quartile
656,1033811,43.0,0,excellent,top_quartile
657,1034483,22.0,0,excellent,third_quartile
658,1035596,24.0,0,excellent,third_quartile
659,1036721,21.0,0,excellent,third_quartile
